Prm	Val	OnOff	Ind
ddG	-0.0031547	1	1
A	0.00088751	1	1
B	0	1	1

ddG	0.00059435	1	2
A	0.00058438	1	2
B	0	1	2

ddG	-0.0031398	1	3
A	0.00079168	1	3
B	0	1	3

ddG	-0.00048996	1	4
A	0.00050009	1	4
B	0	1	4

ddG	-0.0050997	1	5
A	0.00070833	1	5
B	0	1	5

ddG	-0.0019831	1	6
A	0.00037583	1	6
B	0	1	6

ddG	-0.00424	1	7
A	0.00058051	1	7
B	0	1	7

ddG	-0.00080881	1	8
A	0.00027096	1	8
B	0	1	8

